# time	normed_dsignal
-1.510315130402196869e-06 -1.053850968027116204e-03
-1.508315130458760732e-06 -1.119073047472869328e-03
-1.506315130515324595e-06 -1.447956822816370186e-03
-1.504315130571888458e-06 -1.487991563120819863e-03
-1.502315130628452321e-06 -1.539245169237240824e-03
-1.500315130685016184e-06 -1.505180332509751997e-03
-1.498315130741580047e-06 -1.677440479644519509e-03
-1.496315130798143910e-06 -1.525320364978561410e-03
-1.494315130854707773e-06 -1.534315471055101463e-03
-1.492315130911271636e-06 -1.306293713126574106e-03
-1.490315130967835499e-06 -8.818506059616213703e-04
-1.488315131024399362e-06 -6.069341515710999094e-04
-1.486315131080963225e-06 -6.911065156844486274e-04
-1.484315131137527088e-06 -4.009181366005149698e-04
-1.482315131194090950e-06 -3.575038661757147670e-04
-1.480315131250654813e-06 5.802318154686273116e-05
-1.478315131307218676e-06 -2.103971215574991721e-04
-1.476315131363782539e-06 -4.037020575562688652e-04
-1.474315131420346402e-06 -5.242376081371506518e-04
-1.472315131476910265e-06 -2.811690297858871943e-04
-1.470315131533474128e-06 -1.871732313299575277e-04
-1.468315131590037991e-06 1.746763857065766420e-04
-1.466315131646601854e-06 3.694951470558886916e-04
-1.464315131703165717e-06 5.782015822457523468e-04
-1.462315131759729580e-06 5.896949140643103354e-04
-1.460315131816293443e-06 7.771994158206065820e-04
-1.458315131872857306e-06 6.168835197071807558e-04
-1.456315131929421169e-06 7.923774019892927982e-04
-1.454315131985985031e-06 6.810012112686867703e-04
-1.452315132042548894e-06 4.237467147211022530e-04
-1.450315132099112757e-06 5.972811853176702426e-04
-1.448315132155676620e-06 7.862512990437613971e-04
-1.446315132212240483e-06 4.614845533616017273e-04
-1.444315132268804346e-06 3.241602121834555794e-04
-1.442315132325368209e-06 1.285817215572730048e-04
-1.440315132381932072e-06 -2.421603687606379369e-04
-1.438315132438495935e-06 -5.536371326406340975e-04
-1.436315132495059798e-06 -7.561146713815276345e-04
-1.434315132551623661e-06 -1.098363792153087253e-03
-1.432315132608187524e-06 -9.818951268955958007e-04
-1.430315132664751387e-06 -1.265451701972364253e-03
-1.428315132721315249e-06 -1.079206885895458209e-03
-1.426315132777879112e-06 -1.091841573748293746e-03
-1.424315132834442975e-06 -1.151215798571630184e-03
-1.422315132891006838e-06 -1.473846088249189867e-03
-1.420315132947570701e-06 -1.461250255592414947e-03
-1.418315133004134564e-06 -1.414260071047052222e-03
-1.416315133060698427e-06 -1.014798805351422835e-03
-1.414315133117262290e-06 -1.043015747988431611e-03
