# one_x_offsets	two_x_offsets	one_amplitudes	two_amplitudes
3.618663920635171810e-09 8.962823647820895037e-09 8.397342935138416564e-01 1.123319349797172517e+00
4.680279581325619470e-08 2.492921279146231760e-07 1.069262757183360835e+00 7.000000002042587877e-01
1.835318410759804279e-07 1.788352754666138719e-07 9.622103673257103029e-01 9.221035558011825284e-01
2.135847537230858317e-06 5.022365042007773282e-08 8.515150162443932969e-01 1.080055409286925894e+00
1.470678904101406870e-07 5.618858640011794265e-09 1.011068997685765858e+00 7.662657399565839800e-01
3.852958525325693934e-11 -1.426805925340840497e-09 9.830679740047798543e-01 8.706747495476714338e-01
1.828134307448538097e-07 1.793907976947537342e-07 1.260445903177934479e+00 7.192837437374378640e-01
3.817220096442505347e-08 3.123753488731897562e-07 1.229163024850751018e+00 7.163736201545044535e-01
1.632589183020383567e-07 2.597961503410093242e-08 7.753698974216659545e-01 9.473626649924505871e-01
1.673615910492069881e-07 -8.585864925463912544e-10 1.151892047362989668e+00 8.892842601322692442e-01
-9.617081592902475797e-11 1.254161751496583495e-07 8.256693969259532029e-01 8.462500996531376884e-01
1.290388448223455978e-08 1.869785623408749322e-07 9.046341232490990869e-01 9.541384009914184450e-01
1.769617885068721838e-07 -2.162191930530229629e-08 8.718982402578606683e-01 1.060790894242860327e+00
-1.642603887029415391e-09 -4.372072798159254554e-09 8.457345053377227639e-01 8.482980629980214626e-01
-1.631448887377187795e-08 1.812820334085714596e-07 7.000046348450401634e-01 1.196293236674604632e+00
-4.860235222154843098e-09 -8.384293417756634625e-09 1.272223689285782111e+00 7.068678333875139108e-01
2.070385648897611655e-07 2.067579507141092132e-07 8.369642483489438956e-01 9.828931899844697284e-01
2.192525402169567793e-07 8.497754731654900674e-09 7.822713208634746174e-01 1.299999991038205183e+00
-2.687210059023457666e-08 -2.478234560116511779e-08 7.030124724779711620e-01 1.225183518165909424e+00
5.556696419656169710e-08 1.765091587323809497e-07 7.000000046732101078e-01 1.299999999998639577e+00
-1.130278328557220568e-08 6.861341839235339160e-08 1.193642207646839815e+00 1.136449506550848421e+00
-9.235670610886481029e-09 -9.091787139761893342e-09 7.022550578008023292e-01 1.182775339762948796e+00
-7.907526987953474434e-09 1.600802950090261149e-07 1.052625462604464657e+00 9.602680336680782247e-01
3.351358668888358143e-09 2.689218891225955455e-09 1.120551759642381739e+00 7.067120757243480211e-01
1.277299281741744649e-08 1.841956548028846431e-07 1.138455612330563804e+00 7.000000057908160045e-01
-2.145216706122093688e-08 -6.678727268526930494e-09 7.458495320520678318e-01 1.282299453557915081e+00
4.625928407277563853e-09 4.434087384386575443e-09 9.480418061789019912e-01 7.995807332355658881e-01
2.183261370645163155e-07 9.547909110840014662e-11 7.000004691306185300e-01 1.154820435650756316e+00
1.820714289157078710e-07 -7.359224402745490523e-09 8.225154991048053699e-01 9.630519645480364321e-01
2.994248062572092510e-08 3.706150161935023397e-08 1.281572854135136552e+00 7.292877220580326059e-01
1.925053923222653925e-07 -1.270918069144028659e-08 7.937051005808294368e-01 1.118531556377683422e+00
2.390467709692886958e-08 1.948719588485616889e-07 8.032016550464662341e-01 9.831159385382652882e-01
2.075643421425844588e-07 9.645217274203934648e-08 9.826834261155505956e-01 7.000025955567826808e-01
3.499726154064666396e-08 1.700495686015090244e-07 8.374077814493520178e-01 9.289519321963347620e-01
1.811069030028538663e-07 2.769220596072168701e-09 1.046431412114441128e+00 8.589800996720873272e-01
-1.405658353071595178e-08 6.013037855214365891e-08 1.216193753947806933e+00 7.000000018330256868e-01
-8.850695046717619039e-10 -7.994428595395546722e-10 7.245504561964393186e-01 1.105227174967024162e+00
-9.243408535042656691e-10 -1.489326582153911242e-09 7.222772521086405773e-01 9.552591972768654793e-01
-2.150569280304069987e-09 1.845512620486320725e-07 7.143457408383628859e-01 1.188744945737293612e+00
1.409455221415125100e-09 1.946614116661242398e-07 7.000007864727789686e-01 1.086899369509230606e+00
-6.468562334296992850e-09 2.147459732598385441e-07 9.895447845895295469e-01 9.227920825239637193e-01
1.203882640592791414e-08 7.213106134820492678e-09 1.185561652347901784e+00 7.028187159019102515e-01
1.734530930266196561e-07 1.740451848154278453e-07 7.031723795904704088e-01 1.241977350862862206e+00
