# one_x_offsets_init	two_x_offsets_init	one_amplitudes_init	two_amplitudes_init
1.428261865898970355e-07 6.473774482049296139e-08 8.142981341826027730e-01 1.089617218807858778e+00
5.002751522478145833e-08 8.728665738083442307e-08 1.102768047881431457e+00 7.930991516626370030e-01
3.702217165792002759e-08 6.454552265277540464e-08 1.183332435550668915e+00 8.947413467712468371e-01
1.661757812613027472e-07 4.545369948296953545e-08 7.054019443456219784e-01 1.202535235759973453e+00
2.605879892921508654e-07 4.421261846186858782e-08 7.426391149153005466e-01 1.300000000000000044e+00
1.607254550296272151e-07 3.551972192239703223e-08 7.163754616370461292e-01 1.227129393283468817e+00
1.789708761941352351e-07 1.811433673919784764e-07 1.132509617367453147e+00 9.477191701503028254e-01
2.837102260881373945e-07 2.441269071306702438e-07 8.430290239694609999e-01 1.126004655438491264e+00
3.156592630644753627e-08 2.283820309693677415e-08 7.509729086473935222e-01 1.279806715469002043e+00
4.488875262022836078e-08 2.163533575535376964e-06 1.300000000000000044e+00 8.683551852397857207e-01
8.125816327238352924e-08 1.700846360779291029e-07 1.047706800585113340e+00 8.477299364273448434e-01
1.644972802226424022e-07 1.132211973450110829e-08 7.354545795036817601e-01 1.221964959565108089e+00
7.240624138488776838e-08 -1.283046071580396491e-09 7.093118887648590665e-01 1.265343881322342767e+00
1.483164493788230220e-07 -5.818470579734093535e-08 1.300000000000000044e+00 8.641843968770688278e-01
-2.635485156406180066e-08 -3.088780554124208143e-08 1.300000000000000044e+00 8.297191021858144611e-01
3.267485234951963456e-07 -2.274792212824974284e-08 9.492242226126892390e-01 1.214828618826027773e+00
-3.696583385945627822e-08 1.966474514508795508e-08 1.251107769268845482e+00 8.415589086258351559e-01
2.071535079301960756e-06 2.264075205159595094e-08 7.958451659402148159e-01 1.300000000000000044e+00
2.774512501692261923e-07 6.971342467888964106e-08 7.111119385461280862e-01 1.199297270348565592e+00
5.598476323739629154e-08 4.623802998947665770e-08 1.300000000000000044e+00 7.428522551402603202e-01
-9.423799006283305290e-08 2.563229732069066369e-08 8.965798361882747480e-01 1.250533017436904704e+00
5.638060129797115827e-08 5.065741804536645846e-08 1.207360550985992820e+00 8.028892237855713709e-01
-7.858773094800412050e-08 4.691837386173513645e-08 1.070057804466169493e+00 1.029514157009286279e+00
4.734675970980339874e-08 5.276340055499798591e-08 1.267324987167874895e+00 1.018992573511582567e+00
3.546309239909765943e-08 2.093042640749476564e-08 7.211762896078189877e-01 1.185481836563426539e+00
4.277026937916078756e-08 4.329608406340938243e-08 8.166509455833359521e-01 1.087696351594614086e+00
2.118911254504846839e-07 7.374642562697009226e-08 1.018828302086344895e+00 1.101751009979350826e+00
-2.871693357898741578e-08 1.808171590440777399e-08 1.259399148391602719e+00 8.698321917731146602e-01
3.789149801448529395e-08 5.764415851128361949e-08 1.021565787126318181e+00 1.033023842380778934e+00
1.875198557547203099e-07 2.350933741603056237e-07 1.255562393080299932e+00 8.558278362136541029e-01
7.765362600165483267e-08 2.552871863590119646e-07 1.011601578416750025e+00 7.034552977584807021e-01
-3.751009126715619890e-08 1.792841670297402296e-07 1.234882928210781383e+00 1.028274475232394680e+00
-5.868462257889318423e-08 1.812732060788239770e-07 9.362650903318174844e-01 1.054974653973201004e+00
6.218973100025401059e-08 2.631546506675760510e-08 7.257027448610078313e-01 1.300000000000000044e+00
1.959450866613321368e-07 7.000278609013996198e-08 7.669520232599864595e-01 1.097737004056213106e+00
6.530589742957529982e-08 3.704406577747787883e-08 7.134031736026990034e-01 1.194877807236563338e+00
2.925492785770058554e-08 1.450059522714772156e-07 1.137225359933446311e+00 8.686670139009800007e-01
-2.363428789438552403e-08 1.160113951492628448e-08 1.238793125701915132e+00 8.164050688142799883e-01
4.472808069324730724e-08 9.556989788213467921e-08 7.726120344871654222e-01 1.300000000000000044e+00
1.803885578588078023e-06 7.415961860556880275e-08 7.840036787901266679e-01 1.300000000000000044e+00
2.700143348695183358e-08 3.146992427748169254e-08 1.300000000000000044e+00 7.140199205581292397e-01
3.879662479282222636e-07 1.310840074387054254e-07 7.141888688600673829e-01 1.300000000000000044e+00
1.273532823970059367e-07 3.066100706231558988e-08 1.134612277981350559e+00 8.089372104950236508e-01
7.937186313068460760e-08 5.986155364453296922e-08 1.300000000000000044e+00 7.237136964714301346e-01
8.527192116934031125e-08 2.014041053833065012e-07 1.140401841308932740e+00 7.589009543037161798e-01
2.624794154226219016e-07 2.100039717731346758e-07 7.152057321036818793e-01 1.300000000000000044e+00
2.135847547356201230e-06 5.022370331635737749e-08 8.515158259279019815e-01 1.300000000000000044e+00
1.215104385663860054e-07 5.615643836214347461e-08 1.027243986838179746e+00 8.505679689378646824e-01
3.783865037982144506e-08 4.626038477104089204e-08 8.150701831157526334e-01 1.174823307417497631e+00
2.195068511810629509e-07 2.773781994094325834e-07 1.300000000000000044e+00 7.318823634303797121e-01
-9.179127751845161217e-11 2.667600180426518678e-07 1.167025639508164403e+00 9.711890367739794971e-01
1.724561967143860414e-07 6.791702068663871396e-08 7.063484076700832226e-01 1.222013284365961239e+00
1.519508533197639420e-07 4.827792230608747091e-08 1.240857707524782194e+00 9.542153867728460082e-01
5.401685595286414543e-08 7.187855400779738965e-08 9.447703865757276498e-01 8.800820543805790708e-01
7.657069614834927123e-08 1.620721829657117878e-07 1.057248774503343647e+00 9.082721092687853215e-01
1.460944416765067881e-07 -6.535413713014449287e-08 1.224833180294175872e+00 8.915348059398642278e-01
4.193715865441077720e-08 5.978836449683670696e-08 8.364206535220972683e-01 9.995016283012619907e-01
4.639399392054013349e-08 2.234847153584328617e-07 1.084106777987044135e+00 9.659169162604430703e-01
3.327448831257566574e-08 7.271638595071600809e-08 1.300000000000000044e+00 7.036083374022150672e-01
2.735960349033420841e-07 2.573006164670388452e-07 7.012175073576156770e-01 1.153657802138970512e+00
